arrival_rate,service_rate,servers,avg_waiting_time
9.990452695327214,10.889320127378081,1,1.6933281239201567
6.852318227160007,7.95454805000554,5,3.3951654189414636e-05
9.677905833790911,14.623952644595157,1,0.11359586470741663
3.1904971941720577,12.235282489328434,5,0.0
6.021371469514309,9.082511055788935,1,0.19148368280320938
5.952823357053381,9.874941237013902,1,0.22916626890167688
9.368327559521632,11.754236044692693,3,0.001286849455711017
4.665902616512636,8.844477407919943,5,0.0
3.801597476241942,8.529036799292978,1,0.10678457608820717
7.600980810267443,12.10320631790822,3,0.0011699887217425048
9.439977190697856,6.040685510400255,2,0.23210739347019818
6.239875803884744,5.231983089508319,5,0.0003598612746543342
9.831776795361288,14.811557773594245,1,0.12296064664360482
3.6897970899605816,6.6499158035843084,2,0.019156282813824536
7.4143515332908905,10.785079676276078,5,0.0
9.43490565070675,14.741780462563865,2,0.005984604616930219
9.281831397820671,6.684811119207263,4,0.00371480344216755
2.8908807476239593,13.929939470854316,3,0.0
5.851296684739027,10.742198946005557,1,0.09721351305799962
7.7271702002756735,10.772495383176594,2,0.014955849537370955
2.995463360052523,11.008466676344177,5,0.0
5.587702017356231,12.664688107965414,4,3.440487934629343e-05
8.81412849545677,6.499939764767905,2,0.125836726381445
3.4631701146930762,11.74002608511099,4,0.0
5.625305487906098,14.031056469604442,1,0.05567575611649821
5.751662885899858,13.005289610974193,1,0.0508960446659354
7.206792046628991,10.879525223856938,3,0.0010815075968049431
3.529942900380015,10.113766961743295,4,0.00010961488075048934
9.142721618750876,11.694582439403826,2,0.015689788832767747
4.595014181874554,11.996580307112191,4,0.00018676960582612848
5.111603076468505,11.354271089560426,4,0.0
3.106867532327521,6.119014673091837,1,0.16281231505639382
5.350175505557324,9.436394274719174,2,0.007436125689982557
3.6091925318207014,9.192184928879765,3,0.0005315531884681736
6.248378619371017,9.286788104995955,5,0.0
9.873399158660813,8.58008288350473,2,0.05621039896386422
6.742567003866328,6.294703988128386,2,0.06759112542477318
2.6899596675911583,11.412153503324895,3,0.0
5.384058752159554,11.330566993013637,5,0.0
7.093412320106618,8.2420099137735,3,0.0031612312924043946
6.052319373975475,9.618906949977948,5,2.7347818755512218e-05
5.632838505092818,12.429879743482628,5,0.0
4.7760993056400185,11.915127985517973,2,0.002619563639238581
2.8722903770209545,14.275066613440842,2,0.0003345519789000442
9.388023254688965,9.947742631025356,2,0.023429894252419335
6.605278037404286,14.990433803210951,4,2.6978526728774924e-05
7.023941643800965,14.05176445063592,1,0.07590058871908442
8.204567532906523,12.44246636587632,3,0.0009677517777559315
8.421263366617328,8.37320729151354,3,0.006814340402599725
7.697459215223191,14.751700608507942,3,0.0004442608572518347
6.096768813300501,12.359287058676047,2,0.006136147933426315
2.5816094542298034,5.43355161123033,2,0.008732596674660741
6.4219660878702,7.600449367625246,1,0.641221848965863
5.855031612380939,6.81902059707765,5,0.0
6.983572288449904,8.876048444313279,3,0.0030726730967811536
6.6146789368978,11.076601733752815,1,0.11947334751034523
7.1455686956732025,12.796899321857044,2,0.008509809258642148
5.6991902503714655,5.540508039354501,5,0.00022580586661044582
7.474913505170463,6.108767655698583,2,0.0866118288889289
